excerpt_id,id,sentiment_label,confidence,label_method,sample_weight,sittingDate,title,speaker,segment_no,speech_text
ANN_0378,ST35,CAUTIOUS,HIGH,,0.9,22-09-2025,"Number of Vape-related Arrests Made, and Update on Enforcement, Preventive and Rehabilitative Measures for Tackling Vaping",Mr Ong Ye Kung,25,"We have had some informal consultations and we hope ASEAN, at some point, can take a concerted stance. This is something that we want to work towards. In the meantime, we do see more and more ASEAN countries banning vapes, Malaysia being the latest to attempt to do so, and we will share our information and our experiences with them. Hopefully, at some point, we will have a stronger ASEAN common stance."
ANN_0402,ST1091,NEUTRAL,HIGH,,0.9,24-09-2025,Data on Change of Employer Letters and In-principle Approvals Issued between 1 January 2025 to 30 June 2025,Ms Eileen Chong Pei Shan,1,"asked the Minister for Manpower (a) how many Change of Employer (COE) letters have been issued to work permit holders with valid employment claims (i) in 2024 and (ii) from 1 January 2025 to 30 June 2025, respectively; and (b) how many of these work permit holders subsequently got In-Principle Approvals issued within the validity period of their COE letters."
ANN_0116,ST6174,CAUTIOUS,LOW,,0.4,25-02-2026,Debate on Annual Budget Statement,Mr Foo Cexiang,43,"Thank you, Sir. I believe this will be especially critical for generations to come with the advent of AI, because my concern is that the acquisition of foundational knowledge and fundamental cognitive skills will be impacted by growing up with AI. Now I need to be like a robot. Already, there have been studies that suggest that Gen Z may be the first generation that shows lower average intelligence quotient (IQ) and cognitive scores than previous generations for attention, memory and literacy. This is linked to screen time, digital devices and social media, and I have no doubt that AI will compound these challenges. We are only seeing the tip of the iceberg. In this context, it becomes even more critical that our students achieve fundamental competencies, and the most important factor for this is motivation. If our students are able to put in effort and they can achieve top grades with decent effort, I believe it will build up their confidence. It will build up their interest and motivation of the subject, and they will acquire good competency, which forms the solid foundation and springboard for them to leverage the potential of AI. Without this foundation, AI may only serve to retard the cognitive development instead. Mr Speaker, the vision and priorities outlined by the Prime Minister in the Budget speech are long sighted and far reaching. I believe that the suggestions I have made in my speech will further strengthen us as a society and give all of our children a better chance to succeed in life. I support the Budget."
ANN_0510,ST4894,NEUTRAL,HIGH,,0.9,14-01-2026,Clarification by Leader of the House,Ms Indranee Rajah,2,"I think Ms Cassandra Lee had a question about the Legal Profession Act. I think the short answer to that is that under the Legal Profession Act, section 94A does provide that legal practitioners who have been convicted of an offence involving fraud or dishonesty may have to be referred, but that is a matter not for us but for the Law Society, for the AGC and for the Courts. So, that is with respect to section 94A of the Legal Profession Act."
ANN_0282,ST5995,CAUTIOUS,HIGH,,0.9,24-02-2026,Building Ecosystem-level Awareness and Capability Pathways for SMEs to Join Space and Quantum Sectors,Mr Mark Lee,1,"asked the Deputy Prime Minister and Minister for Trade and Industry in view that the Government has signalled frontier areas such as space and quantum as part of Singapore's next growth phase, how does the Government plans to build ecosystem-level awareness and capability pathways for SMEs to participate given the high entry barriers and scale advantages typically associated with these sectors."
ANN_0528,ST4166,CAUTIOUS,HIGH,,0.9,12-01-2026,Review of Three-Year Suspension of Primary 1 Student Intake Imposed on Madrasahs Given Consistent Successful PSLE Performance,Assoc Prof Jamus Jerome Lim,1,"asked the Minister for Education in view that the four madrasahs have met the PSLE benchmark since 2021 (a) whether failure to meet the PSLE benchmark will result in a three-year prohibition on the intake of Primary 1 students; and (b) if so, whether the Ministry will review such a requirement."
ANN_0084,ST2328,POSITIVE,HIGH,,0.9,15-10-2025,CareShield Life and Long-Term Care (Amendment) Bill ,Dr Wan Rizal,20,"Mr Speaker, I rise in support of the Bill. This first major review since 2020 strengthens a safety net that more families will rely on in the years ahead. From 2026 to 2030, payouts under CareShield Life will grow at 4% a year, which means that a new claimant in 2030 can expect about $806 a month, a meaningful step-up to keep pace with rising long-term care costs. To cushion the impact on households, I welcome the Government’s commitment of $570 million in additional premium support over five years, which will help moderate the premium increases for workers and families who are already managing higher everyday expenses. I am also reassured that premiums remain fully payable by MediSave, because, at its heart, a national safety net must be accessible to all where no one should lose coverage simply because they cannot afford to pay at a point in time. The case for action is clear. By 2026, Singapore will be a super-aged society. Severe disability can strike in mid-life as well as old age; claimants have ranged from 30 to 93, with a median age of 52. As a labour Member of Parliament, I view this Bill through the lens of working families and caregivers on the ground. My remarks focus on the ""3As"": Affordability, Adequacy, and Accessibility, with prevention, cost transparency, and the care workforce woven through each. Sir, the expanded means-tested premium subsidies, up to 30%, together with higher income thresholds and the increase of the Home Caregiving Grant to $600 in April 2026, will make a practical difference to households who are watching every dollar. These measures are necessary, but they must also feel fair in real life, not just on paper. For many self-employed and commission-based workers, their incomes swing month to month. Means-testing should therefore reflect typical earnings over a reasonable period, rather than penalising a brief spike that nudges a family across a line. Affordability must also recognise gendered realities. Women often shoulder more caregiving and face career interruptions; we should continue monitoring women’s affordability and study targeted participation incentives for those who have prolonged caregiving spells, so premiums remain manageable without eroding retirement adequacy. Affordability also depends on families knowing what to plan for. To give households and policymakers shared, reliable signposts, I propose an Annual Long-term Care (LTC) Cost and Workforce Report. This should set out a simple, public “basic basket” of long-term care costs across home care, day care and nursing home settings, including transport and consumables, alongside wage and staffing trends in the care sector. With clearer signals, we can calibrate subsidies early, rather than react late, and keep CareShield Life affordable and sustainable. Finally, the most affordable dollar is the one we never have to spend. Sustained investment in promoting physical and mental well-being, chronic disease control, early rehab, and community health can delay or possibly avert disability and reduce time spent in severe disability. Upstream health is not a slogan; it is the first pillar of affordability for our families. So, I urge MOH to continue keep scaling Healthier SG community programmes that help workers maintain good health and mental health, so they can stay employed longer and recover better if illness ever strikes. Sir, my next point is on adequacy. CareShield Life provides basic, lifelong protection. Keeping the claims threshold of three of six ADLs preserves affordability for the broadest base, while those who want earlier triggers can opt for supplement plans. That balance between solidarity and choice is appropriate for a national scheme. I note ground feedback that I have received from care workers and our unions that even with faster payout growth, the net dollar impact, after premium increases, may fall short for some families, and that some private supplements pay from one to two ADLs. While I support keeping CareShield Life affordable at three ADLs, I ask MOH to publish side-by-side publications, illustrations of premiums and payouts, base scheme versus supplements, so households can make informed choices. Adequacy must keep pace with reality on the ground. If care inflation or sector wage growth outstrips payout growth beyond 2030, we should be prepared to adjust the scheme parameters. The Annual LTC Cost and Workforce Report will give the Council and us in Parliament early warnings of cost and wage pressures, so refinements can be timely rather than overdue. Adequacy rests on people, not just on numbers. When care workers are short-staffed or burnt out, our families end up paying more, paying more for private help or coping alone. We should therefore scale workplace transformation through Company Training Committees, for example, workflow redesign, assistive technologies, tele-rehab and AI-enabled documentation, to lift productivity while protecting rest time. Crucially, productivity gains should translate into fair wages for care workers and tangible savings for families. A stable, respected workforce is how we keep services available at a standard and cost that families can live with. My third point, Sir, is on accessibility. Access should feel straightforward in moments that are anything but. A single severe-disability assessment ought to open the door to related schemes, such as the Home Caregiving Grant, without repeated forms and revisits. Where clinically appropriate, tele-assessments can spare less-mobile seniors and time-pressed caregivers additional trips. Two refinements would make the process fairer without changing the ADL threshold: first, assessment guidance should explicitly recognise supervision needs arising from cognitive impairment or serious mental health conditions, so assessors apply criteria consistently and compassionately; second, repeat assessments should be waived or further subsidised when a condition’s trajectory is pretty clear, and recent specialist documentation should be accepted where appropriate. Alongside this, aligning eligibility rules, including property AV thresholds, would prevent families from qualifying for one scheme but missing out on another due to technicalities. Mr Speaker, in Malay, please. Sir, in my constituency of Kolam Ayer, comprising old estates like Bendemeer, Geylang Bahru, Sims Vista and St George's, many senior citizens live close to their children and grandchildren. In many Malay/Muslim families, caregiving duties are shouldered by working family members, including the women, in addition to raising children and supporting parents. Daily costs, such as transport, adult diapers and follow-up treatment, can rise quickly, and the mental stress of caregivers often goes unnoticed. Therefore, three priorities must be given urgency: flexible work as the norm so that caregivers can remain employed; a ""one-stop"" service for assessment, grants, such as the Home Caregiving Grant, and community services; and pathways to return to work through training credits, job placement and CPF support so that retirement needs are not affected. These measures improve access, lighten the burden and protect the mental well-being of caregivers. Sir, in conclusion, if we get the ""3As"" right, affordability with fair help and clear cost signals, adequacy that keeps pace with real pressures and is anchored by a respected care workforce, and accessibility that is simpler, faster and kinder, then seniors in our older estates like mine and caregivers across Singapore can face the future with dignity and confidence. This Bill moves us in the right direction. Let us pair it with the Annual LTC Cost and Workforce Report that I suggested, sustained workforce transformation that shares gains with both families and workers, and continued emphasis on prevention and mental well-being. Mr Speaker, I support the Bill."
ANN_0220,ST5421,CAUTIOUS,HIGH,,0.9,04-02-2026,Land Transport and Related Matters Bill,Ms Lee Hui Ying,3,"Mr Speaker, Sir, I rise in support of the Land Transport and Related Matters Bill. This introduces new and important regulations. It is so important that despite my broken voice today, I wish to share my thoughts, my residents' thoughts on this Bill to ensure safer paths for all. The growth in the use of PMAs in Singapore shows how our city has evolved – from an ageing population with greater needs for independence to a broader expectation that our public spaces accommodate different forms of mobility. But as PMAs become a common sight, it is our duty to strike the right balance of safety, clarity and responsibility between the different users of our public paths. On this Bill, I have a few clarifications regarding the enforceability and impact of these new measures. First, focusing on the most impacted group: the PMA users. From June this year, users must have the Certificate of Medical Need to own a PMA, which can only be obtained after completing the Assessment for Mobility Scooter (AMS) from doctors or occupational therapists. Given that these PMA users would need the vehicle for basic mobility, the AMS should and must remain affordable for all. Will MOT be coordinating with MOH and the Ministry of Social and Family Development to ensure accessibility and affordability of these services by public and private GPs and occupational therapists that can offer AMS for existing and also new PMA users? Will there be a fee cap to avoid opportunistic price hiking to obtain the AMS? As users’ medical conditions change over time, it is important to ensure PMA users continue to be fit to operate PMAs to reduce the likelihood of accidents. Assessment to Own does not mean Assessment to Operate. I have seen some PMA users, while medically allowed to own a PMA, may not have the ability to safely operate their devices and this jeopardises other path users. PMA users should meet baseline requirements of eyesight, dexterity and mental state to safely operate their devices. I would like to ask if the AMS will include an assessment test to determine if the patient is able to safely operate a PMA? This may also change with time if health conditions worsen or simply from ageing. Will there be a validity of each AMS to ensure continued assessment on safe riding of PMAs? For example, a reassessment once every three years for those with severe chronic conditions. Second, the effectiveness of the regulations in making our footpaths and roads safer for everyone. From 2023 to Q3 2025, MOT said there were around 710 reported accidents involving PMAs, PMDs or PABs that resulted in injuries. And approximately 590 were on the roads and 120 were off-road, inclusive of public paths. There may have been much much more accidents that went unreported. The new regulations aim to reduce accidents involving pedestrians due to reckless speeding on footpaths and shared paths. However, the prevalence of motorised PMA users might make it difficult to enforce penalties against many cases, with some riders who decide to hit and run after the collision to avoid punishment. So, enforcement is extremely key here. Most will comply but there may still be recalcitrant users who disregard the rules. Can the Ministry consider establishing a demerit system for PMA users to deter repeat offenders who fail to consider the safety of others? Will there be physical features installed, similar to red light cameras on the roads, on shared paths to track speed limits? There are still some confusion on regulations surrounding active mobility vehicles such as the speed limit and which paths or roads each vehicle is allowed to ride on. Just as we are getting used to the terms of PMA, PMD and PAB, we are now hearing new terms from the Ministry – motorised vehicles, motorised wheelchairs, motorised scooters. Will the Ministry consider increasing better and fuller public communications efforts, such as placing visible signages on speed limits and designating which vehicles are allowed on footpaths, shared paths and roads? This will reduce the number of accidents due to some riders and pedestrians who unintentionally use the wrong paths. Additionally, which I think has been highlighted in this Chamber by some Members, there are other factors other than speed that pose safety risks and public disturbance. Sometimes, you hear them before you see them. Some active mobility users play loud music on their devices, almost like a mobile disco blasting through the Housing and Development Board (HDB) blocks and footpaths. And sometimes, during wee hours of the night. Will the Ministry look into restricting the playing of loud music on such devices to minimise disturbance and to show consideration for the community? Third, some delivery riders switched to PMAs after PMDs were banned from footpaths in 2019. The new regulations on speed limit and vehicle registration are likely to result in loss of income for many delivery riders who depend on the device for their livelihoods. So, the transition support is crucial. Has the Ministry consulted with major food delivery platforms on changes in compensation structures or job allocations due to the new regulations? This could include allocating shorter distance deliveries to more PMA delivery riders to mitigate potential fall in earnings. Or will there be career transition assistance for those who wish to switch out of their delivery jobs? Additionally, delivery riders who switch to PABs or PMDs would not be able to legally ride on pedestrian paths, making it challenging for them to complete their deliveries in HDB estates. So, those who do so illegally might pose an even greater risk to pedestrians due to the higher speed limit. Therefore, could the Minister or the Ministry share on plans to improve last mile connectivity by increasing the accessibility of shared paths network within the HDB estates? Sir, in Mandarin, please. Mr Speaker, the use of Personal Mobility Aids (PMAs) has become increasingly common, and we have a responsibility to balance the safety, responsibility and clarity for all users on public paths. I hope MOT can further clarify the impact of this Bill on PMA users, road users and food delivery workers, as well as how the new measures can be enforced. Firstly, starting from June this year, mobility scooter users must obtain medical certification after completing relevant assessments by doctors or occupational therapists before they can own a mobility scooter. These users often depend on assistive devices for basic mobility, so this assessment must be affordable for them. Will the MOT coordinate with MOH and the MSF to ensure that existing and new mobility scooter users can easily access assessment services provided by doctors and occupational therapists at affordable prices? Will the authorities set a fee cap for this service to avoid opportunistic price hiking? Furthermore, the health condition of PMA users changes over time. They must be fit enough to operate mobility aids to reduce the likelihood of accidents. Even if they are assessed to own, does not mean they have the ability to operate. Therefore, users must meet basic requirements for vision, dexterity and mental state to safely operate assistive devices. Will the assessment for mobility scooters include evaluating whether patients can safely operate the assistive device? Considering changes in their health conditions and the effects of ageing, will assessments have time limits for safety purposes? For example, patients with serious chronic conditions might undergo reassessment every three years? Secondly, regarding effective enforcement of regulations. I believe most users will comply with regulations, but for those bad actors who repeatedly ignore advice, will the MOT consider implementing a demerit point system as a deterrent to ensure others' safety? Will the authorities consider installing speed detectors on footpaths, similar to enhanced speed cameras and traffic cameras on roads? Thirdly, regarding the livelihoods of food delivery workers. In 2019, after PMDs were banned from footpaths, some delivery workers switched to using PMAs. The new speed and registration regulations will likely cause delivery workers, who depend on these devices for livelihoods, to lose their income. During the transition period, they desperately need additional support. Will delivery workers who want to change careers receive employment assistance? Delivery workers who switch to PABs and PMDs will not be able to use pedestrian-only paths, causing difficulties when delivering in HDB estates. Can the Minister reveal what plans there are to improve the convenience and connectivity network of shared paths in HDB estates? With our rapidly ageing population, mobility aids will only become more prevalent. I hope this Bill can ensure that all Singaporeans can use our roads safely and conveniently. Mr Speaker, Sir, notwithstanding these clarifications, I fully support the Bill. With the increasing prevalence of PMA use in our ageing population, I hope that this Bill enables safer and more accessible roads and paths for all Singaporeans."
ANN_0039,ST3410,CAUTIOUS,HIGH,,0.9,05-11-2025,Utilisation Rates of SkillsFuture Enterprise Credit (SFEC) and Measures to Encourage SFEC Use before Expiry in 2026,Mr Patrick Tay Teck Guan,1,asked the Deputy Prime Minister and Minister for Trade and Industry (a) what is the number of eligible enterprises that have not utilised the SkillsFuture Enterprise Credit (SFEC); and (b) what further measures does the Ministry have to encourage all eligible enterprises to use the SFEC before unused amounts expire in the second half of 2026.
ANN_0225,ST2878,CAUTIOUS,HIGH,,0.9,04-11-2025,Programmes to Maintain Employment Stability and Attract MNC Investments amidst Staff Cut Announcements,Mr Saktiandi Supaat,1,asked the Minister for Manpower in light of recent announcement by foreign firms of staff cuts in Singapore (a) what measures are the Government adopting to maintain employment stability and attract or retain multinational investments; and (b) whether there are targeted supports or retraining programmes for affected workers in sectors impacted by such downsizing.
