debate_id,title,sector_label,confidence,predicted,max_predicted_proba,is_correct,error_type,review_flag
D001,Approval Process for Requests for Air-conditioners to be Installed in HDB Rental Flats,Housing & Property,HIGH,Housing & Property,0.2899158115269832,True,Correct,Auto-label OK
D002,Data on Out-of-Pocket Spending for Chronic Diseases by CHAS Card Tier and Income Decile and Plans for Further Subsidies,Healthcare,HIGH,Healthcare,0.211804535887127,True,Correct,Auto-label OK
D003,Discrepancies in Immigration Entry and Exit Records,Defence & Home Affairs,HIGH,Defence & Home Affairs,0.2252744455333009,True,Correct,Auto-label OK
D004,Implications for Singapore from Disputes over US Claim on Greenland,Defence & Home Affairs,MEDIUM,Defence & Home Affairs,0.11349071048019348,True,Correct,Needs Review
D005,Evaluating Risky and Ineffective Airdrops of Humanitarian Aid to Intended Recipients,Defence & Home Affairs,MEDIUM,Transport,0.12279076797230955,False,Misclassified,Needs Review
D006,Update on Review to Remove 15-month Wait-out Requirement for Private Property Owners Downgrading to HDB Flats,Housing & Property,HIGH,Housing & Property,0.4290677882838969,True,Correct,Auto-label OK
D007,Strengthening Resources for Peer Support of Mental Health in Community Settings and Workplaces,Healthcare,HIGH,Healthcare,0.19743187177353166,True,Correct,Auto-label OK
D008,Mitigation Actions Taken to Protect At-risk Children from Abusive Situations against Potential System Lapses,Social & Family Policy,HIGH,Social & Family Policy,0.16897568331539758,True,Correct,Auto-label OK
D009,Update on Food Security Strategy with Revised 2035 Fibre and Protein Production Targets,Environment,HIGH,Environment,0.28676049293582656,True,Correct,Auto-label OK
D010,Compatibility Issues between ERP 2.0 On-board Units and Some Car Park Gantry Systems,Transport,HIGH,Transport,0.2090251909266568,True,Correct,Auto-label OK
D011,Implication of Aquaculture Plan on Singapore Food Story 2.0,Environment,HIGH,Environment,0.24663346080214915,True,Correct,Auto-label OK
D012,Guidelines for Approval of Renovation Works for Older HDB Flats to Ensure Structural Integrity and Prevent Damages,Housing & Property,HIGH,Housing & Property,0.3454072782135408,True,Correct,Auto-label OK
D013,Extension of Enhanced MRSS for Vulnerable Workers with Career Interruptions Due to Caregiving Reasons,Labour & Workforce,HIGH,Social & Family Policy,0.2564208786368797,False,Misclassified,Auto-label OK
D014,Security Implications for Singapore and Region Given Policy Shifts in 2025 US National Security Strategy Paper,Defence & Home Affairs,HIGH,Defence & Home Affairs,0.2535183143984235,True,Correct,Auto-label OK
D015,"Number of Vape-related Arrests Made, and Update on Enforcement, Preventive and Rehabilitative Measures for Tackling Vaping",Healthcare,HIGH,Healthcare,0.27163451128941823,True,Correct,Auto-label OK
D016,Impact of Marginal Bidders in COE Auctions Disproportionately Influencing Clearing Prices across Categories A and B,Transport,HIGH,Transport,0.13641172611161373,True,Correct,Needs Review
D017,Reintegration of Platform Workers to Traditional Employment through Support for Job Redesign Programme,Labour & Workforce,HIGH,Labour & Workforce,0.43420252268913834,True,Correct,Auto-label OK
D018,Impact on Singapore from Shutdown Affecting Operations and Inspective Services at US Food and Drug Administration,Healthcare,MEDIUM,Environment,0.4139855395386747,False,Misclassified,Auto-label OK
D019,Weekday Commute Times Based on LTA's Latest Household Travel Survey Separated by Household Types and Income,Transport,HIGH,Transport,0.13155070451412762,True,Correct,Needs Review
D020,Completion Timeline of Bus Fleet Management System Upgrade and Penalties Enforced for Agreement Breaches,Transport,HIGH,Transport,0.34146951500944434,True,Correct,Auto-label OK
D021,Reasonable Asking Price for Flats in EIP Buyback Scheme,Housing & Property,HIGH,Housing & Property,0.4417019007618817,True,Correct,Auto-label OK
D022,Regulation for Protection of Consumers Affected by Fraudulent Transactions Involving Third-party Payment Platforms,Financial Services,HIGH,Financial Services,0.2247400405216483,True,Correct,Auto-label OK
D023,Land Transport and Related Matters Bill,Transport,HIGH,Transport,0.2403242024703084,True,Correct,Auto-label OK
D024,Standardised Diagnosis and Care Pathway for Elderly Residents with Possible Hearing Loss,Healthcare,HIGH,Healthcare,0.2520084401744031,True,Correct,Auto-label OK
D025,"Effectiveness of Noise Barriers, Low-noise Pavement and Rail Modifications on Residential Noise Level Reductions",Transport,HIGH,Transport,0.24997226763168873,True,Correct,Auto-label OK
D026,Measures to Stop Active Mobility Users on Park Connector Networks from Blasting Music When Close To Housing Estates,Environment,HIGH,Transport,0.15101947347215772,False,Misclassified,Needs Review
D027,Updated School Guidelines on Adverse Climate Events to Safeguard Student Safety and Well-being,Education,HIGH,Education,0.21307492754241714,True,Correct,Auto-label OK
D028,"Impact of Bus Arrival Timing System Faults on Bus Services and Commuters, and Corrective Measures Taken",Transport,HIGH,Transport,0.4174472645963386,True,Correct,Auto-label OK
D029,Rejected Flexible Work Arrangement Requests Since December 2024,Labour & Workforce,HIGH,Labour & Workforce,0.1677710330240778,True,Correct,Auto-label OK
D030,Data on Composition and Distribution of Household Income Changes Across Different Income Deciles,Labour & Workforce,HIGH,Digital Economy & Tech,0.13925766915797613,False,Misclassified,Needs Review
D031,Directing Graduates towards Sectors Maintaining Active Hiring and Wage Growth,Labour & Workforce,HIGH,Labour & Workforce,0.27190853855115993,True,Correct,Auto-label OK
D032,Proposal for Additional Primary Schools in Bishan East-Sin Ming Region,Education,HIGH,Education,0.2857377054042693,True,Correct,Auto-label OK
D033,Appeals for Additional CDC Vouchers from Different Households Sharing Same Address,Social & Family Policy,HIGH,Other / Cross-cutting,0.2218332811188801,False,Misclassified,Auto-label OK
D034,Probe into Similarities between Roles of Recently Retrenched Staff and Graduate Trainees of Digital Bank,Labour & Workforce,HIGH,Labour & Workforce,0.21391213078493093,True,Correct,Auto-label OK
D035,Factors Considered When Pritorising Rail Line Upgrades,Transport,HIGH,Transport,0.1857586840937502,True,Correct,Auto-label OK
D036,"Managing National Food Stockpile while Being Mindful of Wastage, Nutritional Value and Food Prices",Environment,HIGH,Environment,0.5149868131939305,True,Correct,Auto-label OK
D037,Tracking Tenure Duration and Ethnicity of Tenants for Open-market Rental of HDB Flats,Housing & Property,HIGH,Housing & Property,0.562901679324682,True,Correct,Auto-label OK
D038,Cumulative Noise Cap Implementation for Concurrent Infrastructure Projects with North-South Corridor Project,Other / Cross-cutting,LOW,Transport,0.2715966720086013,False,Misclassified,Auto-label OK
D039,Mother Tongue Exemption or Replacement for Students with Conditions Such As Autism Spectrum Disorder or Dyslexia,Education,HIGH,Education,0.41565367917694623,True,Correct,Auto-label OK
D040,Enhancement of Annual Disbursement of LifeSG Credits under Large Families Scheme to Eligible Children,Social & Family Policy,HIGH,Social & Family Policy,0.24678384946406362,True,Correct,Auto-label OK
D041,"Extending Concession Pass Price Reductions beyond Adults, Seniors and PwDs in view of Transport Fare Increase in December 2025",Transport,HIGH,Transport,0.19960588123790055,True,Correct,Auto-label OK
D042,First Responder Agency for Enforcing Late Night Noise Violations,Defence & Home Affairs,HIGH,Housing & Property,0.16203396399277542,False,Misclassified,Auto-label OK
D043,Data on Pilgrims Who Have Cleared Medical Screening for Upcoming Haj,Healthcare,HIGH,Healthcare,0.16259291888393906,True,Correct,Auto-label OK
D044,Including Input from Singaporeans Who Graduated Overseas in Fresh Graduates Employment Data,Labour & Workforce,HIGH,Labour & Workforce,0.3087555491209987,True,Correct,Auto-label OK
D045,Enhancing Vape Detection in Schools and Counselling for Students Caught Vaping,Education,HIGH,Education,0.440704018113009,True,Correct,Auto-label OK
D046,Assessments to Determine Adequacy of Childcare Capacity within Pasir Ris-Changi GRC,Social & Family Policy,HIGH,Social & Family Policy,0.12315346974832707,True,Correct,Needs Review
D047,Breakdown of Property Ownership Value across Income Groups by Singaporean and Non-Singaporean Households in Last 10 Years,Housing & Property,HIGH,Housing & Property,0.18058843576628458,True,Correct,Auto-label OK
D048,Data on Employment of Local Graduates of IHLs and Aquaculture CET Programmes in Sea-based Fish Farm Industry,Labour & Workforce,HIGH,Environment,0.1731774772902724,False,Misclassified,Auto-label OK
D049,Workplace Fairness (Dispute Resolution) Bill,Labour & Workforce,HIGH,Labour & Workforce,0.22409349158683833,True,Correct,Auto-label OK
D050,"Tracking Employment Outcomes, Job Transitions and Promotions of Individuals who Have Completed SkillsFuture-funded Training",Labour & Workforce,HIGH,Labour & Workforce,0.17807997197877234,True,Correct,Auto-label OK
D051,Criteria for Location of Active Ageing Centres in New BTO Estates,Housing & Property,HIGH,Healthcare,0.1935578425815417,False,Misclassified,Auto-label OK
D052,Digital Parenting Survey's Representation of Resident Parent Population's Income Levels,Digital Economy & Tech,MEDIUM,Digital Economy & Tech,0.1694403094222848,True,Correct,Auto-label OK
D053,Assessing Trend of Declining Job Creation Per Dollar of Investment,Labour & Workforce,HIGH,Labour & Workforce,0.18192617344146314,True,Correct,Auto-label OK
D054,Impact of Acquisition of RSAF P-8A Poseidon and F-35 Jets on Maritime Security Capabilities,Defence & Home Affairs,HIGH,Defence & Home Affairs,0.16244619073500277,True,Correct,Auto-label OK
D055,Possible Amendment of Prevention of Corruption Act to Prevent Liability Evasion by Senior Management of Large Corporations,Labour & Workforce,MEDIUM,Social & Family Policy,0.10945059726212837,False,Misclassified,Needs Review
D056,Projected Demand for Childminding Services over Three-year Pilot Period,Social & Family Policy,HIGH,Social & Family Policy,0.13931554736347945,True,Correct,Needs Review
D057,Proportion of HDB Solar Panel Installation Under SolarNova Programme and Future Expansion Plans,Housing & Property,HIGH,Housing & Property,0.3800443312737847,True,Correct,Auto-label OK
D058,Strengthening SCDF's Emergency Response Capabilities and Enhancing Community Engagement for Fire Outbreaks,Defence & Home Affairs,HIGH,Housing & Property,0.19495729127450342,False,Misclassified,Auto-label OK
D059,Number of Carbon Offset Credits Purchased by Singapore Annually,Environment,HIGH,Environment,0.14363518888025723,True,Correct,Needs Review
D060,Noise-related Feedback and Complaints Lodged for Construction Works Near Loyang Viaduct and Cross Island Line Stations,Transport,HIGH,Transport,0.22285031365598712,True,Correct,Auto-label OK
D061,"Electric Vehicle Charging Rates at HDB and Private Car Parks, and Impact of Mandating Dual-operators",Transport,HIGH,Housing & Property,0.1598880298231461,False,Misclassified,Needs Review
D062,Longer-term Support for SMEs to Maintain Employment and Wages of Older Workers,Labour & Workforce,HIGH,Labour & Workforce,0.35049625309974713,True,Correct,Auto-label OK
D063,Speech Time for the Leader of the Opposition,Other / Cross-cutting,LOW,Other / Cross-cutting,0.12834068534881338,True,Correct,Needs Review
D064,Number of Dementia-afflicted Patients Over Five-Year Period and Future Projections for Singapore,Healthcare,MEDIUM,Healthcare,0.24441156544608894,True,Correct,Auto-label OK
D065,Update on Study on Effectiveness of Mandating Age Limits for Social Media Access,Digital Economy & Tech,LOW,Digital Economy & Tech,0.3015795504619342,True,Correct,Auto-label OK
D066,Justification for Higher Fare Increase for Express Buses and Potential Impacts of Pricing Strategy on Ridership,Transport,HIGH,Transport,0.37649693610868196,True,Correct,Auto-label OK
D067,Effectiveness of Measures to Prevent and Deter Scams,Defence & Home Affairs,HIGH,Defence & Home Affairs,0.25991184280083884,True,Correct,Auto-label OK
D068,Background Checks on Educators and Non-teaching Staff in Government Schools,Education,HIGH,Education,0.2302235511834468,True,Correct,Auto-label OK
D069,Time Limit for Senior Minister of State's Speech,Other / Cross-cutting,LOW,Labour & Workforce,0.1261719512008223,False,Misclassified,Needs Review
D070,Measures to Enhance Protection against Fraudulent Bulk Order Scams Targeting Small Businesses,Defence & Home Affairs,HIGH,Defence & Home Affairs,0.1995951903412804,True,Correct,Auto-label OK
D071,Tracking and Issuing Guidelines on Listed Prices for Subsidised Procedures at Public Hospitals,Healthcare,HIGH,Healthcare,0.3616265092594962,True,Correct,Auto-label OK
D072,Increasing Quantum of Benefits and Grants for Large-family Households,Social & Family Policy,HIGH,Social & Family Policy,0.27317447636677955,True,Correct,Auto-label OK
D073,Reintroducing Larger-format HDB Flats for Younger Families to Encourage Parenthood and Space Needs Strategies,Housing & Property,HIGH,Housing & Property,0.43577379704021973,True,Correct,Auto-label OK
D074,Data on Foreigners with Valid In-Principle Approvals Who Were Denied Entry,Defence & Home Affairs,HIGH,Defence & Home Affairs,0.17746373750175198,True,Correct,Auto-label OK
D075,More Support for Workplace Leaders and Managers to Develop Competencies in Workplace Mental Well-being,Labour & Workforce,MEDIUM,Healthcare,0.15927286674248467,False,Misclassified,Needs Review
D076,Take-up Rate for Physical CDC Vouchers and Reasons for Cessation of Physical Vouchers Issuance,Social & Family Policy,HIGH,Other / Cross-cutting,0.22219499527480369,False,Misclassified,Auto-label OK
D077,Old Voting District Reflected with Change of Physical Identity Card,Defence & Home Affairs,MEDIUM,Financial Services,0.12141528897126395,False,Misclassified,Needs Review
D078,Factors Determining Requirement of Shadow Teacher or In-class Support Aide for Students and Financial Assistance for Lower-income Families,Education,HIGH,Education,0.44419311942335427,True,Correct,Auto-label OK
D079,Plans for Mandatory PMD Insurance to Protect Pedestrians and PMD Users,Transport,HIGH,Transport,0.16609106336443327,True,Correct,Auto-label OK
D080,Investigation into Firms under Transboundary Haze Pollution Act for Recent Haze Due To Peat Fires in Johor,Environment,HIGH,Environment,0.19443082681073848,True,Correct,Auto-label OK
D081,Tracking of Food Insecurity Prevalence in Singapore,Social & Family Policy,HIGH,Environment,0.24790393363918997,False,Misclassified,Auto-label OK
D082,Increasing Healthy Food Options at Hawker Centres and Food Courts,Healthcare,HIGH,Healthcare,0.19757254395106053,True,Correct,Auto-label OK
D083,Data on Singaporeans Using MediSave for Family Members by Income Profile and Potential Risk of Insufficient MediSave Funds,Healthcare,MEDIUM,Healthcare,0.19719288250363953,True,Correct,Auto-label OK
D084,Extending Silver Support Scheme Eligibility to Senior Residents in Executive Apartments with Low Per Capita Household Income,Social & Family Policy,HIGH,Social & Family Policy,0.30846569200593577,True,Correct,Auto-label OK
D085,"Capture of Data Based on Retiree, Disabled Persons and Single-parent Households, and on Housing Categories Despite Change in Government's Income Trends Report",Housing & Property,HIGH,Digital Economy & Tech,0.14130455044002493,False,Misclassified,Needs Review
D086,Salaries and Retention Rates of Mid-career Professionals in TeSA Programme,Labour & Workforce,HIGH,Labour & Workforce,0.184636455872084,True,Correct,Auto-label OK
D087,Expected Layoffs in Petrochemical Industries following Retrenchment by US Energy Company of 500 Staff in Singapore,Labour & Workforce,HIGH,Labour & Workforce,0.33365990875023666,True,Correct,Auto-label OK
D088,Tackling Food Safety Incidence at Schools and Institutes of Higher Learning,Education,HIGH,Environment,0.27516510884720075,False,Misclassified,Auto-label OK
D089,NRF to Conduct National Research Challenge towards Cost-Effective Elderly Access Solutions for Older HDB Estates with Shortage of Direct Lift Access,Housing & Property,HIGH,Housing & Property,0.32555021940726897,True,Correct,Auto-label OK
D090,Noise Dispute Resolution and Enforcement Measures in Residential Developments,Housing & Property,HIGH,Housing & Property,0.18389059824173612,True,Correct,Auto-label OK
D091,Braking Procedures for Bus Captains to Ensure Safety of Elderly and Pregnant Commuters,Transport,HIGH,Transport,0.3700371691150325,True,Correct,Auto-label OK
D092,Measures to Boost and Improve Paper and Domestic Recycling Rate,Environment,HIGH,Environment,0.16217440776458258,True,Correct,Auto-label OK
D093,Allocating Students to Junior College Courses Before Knowing if They Qualify under Joint Admissions Exercise,Education,HIGH,Education,0.25234490439668344,True,Correct,Auto-label OK
