debate_id,title,turn1,turn2,actual,confidence,predicted
D005,Evaluating Risky and Ineffective Airdrops of Humanitarian Aid to Intended Recipients,"asked the Coordinating Minister for Public Services and Minister for Defence whether the Ministry has evaluated the value of conducting airdrops of humanitarian aid, in the light of concerns that such airdrops into the Gaza strip have been ineffective, dangerous and risky to intended recipients.","The preferred and most effective model of humanitarian aid delivery to Gaza is via land transfer. Airdrops, which entail higher risk and cost, are a last resort when land transfer becomes restricted and the humanitarian situation is dire. To reduce the risk to the intended recipients, the Republic of Singapore Air Force (RSAF) worked with the Royal Jordanian Air Force to select suitable drop zones, taking into consideration the safety of civilians in Gaza. Checks were conducted to ensure that the parachutes and loads were rigged in accordance with established safety standards and practices. The RSAF crew also carried out detailed planning to ensure the aid loads would land within the identified drop zones safely. If needed and tasked to conduct airdrops in Gaza as a last resort, the RSAF will continue to take similar precautions.",Defence & Home Affairs,MEDIUM,Transport
D013,Extension of Enhanced MRSS for Vulnerable Workers with Career Interruptions Due to Caregiving Reasons,asked the Minister for Manpower whether the Government will consider extending the enhanced Matched Retirement Savings Scheme or introducing a similar matching scheme for vulnerable workers experiencing career interruptions due to caregiving or medical reasons.,"Vulnerable individuals who do not have enough retirement savings as a result of career interruptions due to caregiving or medical reasons can already benefit from the Matched Retirement Savings Scheme (MRSS) from age 55, which we enhanced in 2025. They may also benefit from other support measures, such as the Silver Support Scheme, the Retirement Savings Bonus under the Majulah Package and the recent Budget 2026 Central Provident Fund top-up. Younger Singaporeans have a longer runway to build their retirement savings, and our priority is to support them to return to work when they are ready. They can tap on the employment facilitation services offered by Workforce Singapore and the National Trades Union Congress' Employment and Employability Institute for job search and career transition support. When they return to work, they may be eligible for the Workfare Income Supplement, which supplements their income and retirement savings. Tripartite partners have also been promoting flexible work arrangements which provide more opportunities for those who need such flexibility.",Labour & Workforce,HIGH,Social & Family Policy
D018,Impact on Singapore from Shutdown Affecting Operations and Inspective Services at US Food and Drug Administration,asked the Minister for Sustainability and the Environment in view of the United States' government shutdown which may affect the operations at its Food and Drug Administration and Food Safety and Inspection Service (a) what are the implications for food and medicines which Singapore imports from the US; and (b) how does the Ministry ensure that these products are safe for consumers and patients.,"The relevant Singapore agencies have independent processes in place to ensure the safety of food and medicinal products sold in Singapore. The Singapore Food Agency (SFA) requires overseas sources of high-risk food products to be accredited before they can be imported and continues to monitor these sources regularly after accreditation. SFA also has an inspection regime to test for food safety along critical nodes of the supply chain, including at the point of import. Unsafe food products will be rejected or recalled from the market. Medicines are registered and verified by the Health Sciences Authority (HSA) to have met rigorous international scientific standards and Good Manufacturing Practice requirements to ensure they are safe, effective and of good quality. Once the medicines are marketed, HSA conducts risk-based sampling to check that medicines continue to meet the required standards. There is also a national adverse reaction monitoring programme to detect any safety issues reported by healthcare professionals or consumers. When necessary, SFA and HSA will take swift regulatory actions to protect public health, food and medicinal safety.",Healthcare,MEDIUM,Environment
D026,Measures to Stop Active Mobility Users on Park Connector Networks from Blasting Music When Close To Housing Estates,"asked the Minister for National Development (a) what are the measures taken to stop active mobility users using Park Connector Networks from blasting loud music while passing near housing estates, such as those along Hougang Avenue 7 and Upper Serangoon View, especially during quiet hours at night; and (b) whether there are any plans to enhance current public education or enforcement measures regarding such behaviour.","Visitors to our public spaces, such as parks and park connector networks (PCN), should be considerate to the wider community, including residents, and not create noise that might disturb others. Where necessary, National Parks Board (NParks) will step up its enforcement operations and public education efforts. NParks also installs signs along PCN to advise users to keep noise levels down. NParks collaborates closely with partners, such as the People's Association, Residents' Networks, Friends of the PCN and the Singapore Kindness Movement, to raise public awareness about PCN etiquette.",Environment,HIGH,Transport
D030,Data on Composition and Distribution of Household Income Changes Across Different Income Deciles,"asked the Deputy Prime Minister and Minister for Trade and Industry (a) how much of the rise in Singapore's median monthly household income in 2025 is attributable to the newly included non-employment sources; (b) what is the income change based on employment alone; and (c) what is the disparity in income from rent and investments, excluding CPF payouts, across different income deciles.","Based on resident households in the fifth income decile, average household market income per household member rose by $287 in 2025, of which $183 was from an increase in employment income while the remaining $104 was from an increase in non-employment income. Data on the average rental and investment income per household member among resident households by income deciles can be found in Table 1.",Labour & Workforce,HIGH,Digital Economy & Tech
D033,Appeals for Additional CDC Vouchers from Different Households Sharing Same Address,"asked the Acting Minister for Culture, Community and Youth (a) since the inception of the Community Development Council ( CDC) Vouchers Scheme, how many appeals for additional CDC vouchers have been received from different households sharing a single home address at each tranche; and (b) whether the Ministry will consider accepting additional forms of proof beyond address-related documents, such as rental agreements, to verify separate households for such appeals.","I am answering in my capacity as the Minister charged with the responsibility for the People's Association (PA). Every Singaporean household can claim one set of Community Development Council (CDC) Vouchers per tranche. If there is more than one unrelated Singaporean households residing at the same address, the additional household(s) at the address remain eligible for their set of CDC vouchers and can apply for the vouchers at any Community Centre or Club by providing the necessary supporting documents. The application process is simple and various types of supporting documents that show proof of a distinct household, such as tenancy agreement and marriage certificate, are accepted. In general, the application will be approved as long as the applicants are not from the same Singaporean household and have not previously claimed the CDC vouchers. Those with difficulties claiming the vouchers can approach their nearest Community Centre or Club for assistance.",Social & Family Policy,HIGH,Other / Cross-cutting
D038,Cumulative Noise Cap Implementation for Concurrent Infrastructure Projects with North-South Corridor Project,"asked the Acting Minister for Transport in respect of the construction noise from the North-South Corridor project (a) whether a cumulative noise cap can be implemented for residential estates facing concurrent projects; and (b) whether the Ministry will review the 70-metre distance rule for noise barriers where residents face over five years of infrastructure noise, specifically at Nuovo and Castle Green condominiums.","Where cumulative noise levels exceed regulatory noise limits for the North-South Corridor, the National Environment Agency will work with the Land Transport Authority and its contractors to coordinate construction schedules to minimise overlapping activities, where practicable. Enforcement action will be taken against individual sites that exceed regulatory noise limits. Noise barriers must be installed for construction projects within 75 metres of noise-sensitive premises, including residential buildings. Localised noise impact assessments must also be conducted before and during construction, and if needed, contractors would have to implement further noise mitigation measures.",Other / Cross-cutting,LOW,Transport
D042,First Responder Agency for Enforcing Late Night Noise Violations,"asked the Minister for National Development which agency is the first response authority for enforcing noise violations after 10.30 pm, such as cases involving individuals playing excessively loud music in public parks.",This question was addressed in the Ministry of National Development's reply to the question asked by Mr Dennis Tan Lip Fong on 25 September 2025.,Defence & Home Affairs,HIGH,Housing & Property
D048,Data on Employment of Local Graduates of IHLs and Aquaculture CET Programmes in Sea-based Fish Farm Industry,asked the Minister for Sustainability and the Environment (a) whether the Ministry has data on the proportion of local workers in the sea-based fish farm section who are graduates of local Institutes of Higher Learning or Continuing Education and Training programmes relevant to aquaculture; and (b) what proportion of these graduates are currently employed by existing farms that have received funding under the Agri-Food Cluster Transformation Fund.,The Singapore Food Agency does not collect data on the number of graduates from local Institutes of Higher Learning or relevant Continuing Education Training Programmes who have joined sea-based fish farms or recipients of the Agri-Food Cluster Transformation Fund.,Labour & Workforce,HIGH,Environment
D051,Criteria for Location of Active Ageing Centres in New BTO Estates,"asked the Coordinating Minister for Social Policies and Minister for Health (a) what criteria do the Ministry and the Agency of Integrated Care use to locate and roll out Active Ageing Centres (AAC) in new BTO estates, such as Hougang Olive and Bartley Beacon; (b) how demand, accessibility and senior population projections for AAC are assessed; and (c) whether indicative timelines for establishment of AACs will be shared with residents.","The Ministry of Health and the Agency for Integrated Care consider the current and projected number of seniors based on administrative data, local service needs as well as the accessibility of Active Ageing Centres (AACs) when planning for and setting up new AACs, including in new Build-To-Order developments. The Agency for Integrated Care works with relevant stakeholders to inform residents of the expected operationalisation timeline of upcoming AACs.",Housing & Property,HIGH,Healthcare
